event_id,date,year,quarter,month,company_name,industry,region,country,company_size,total_workforce_before,headcount_cut,workforce_after,pct_workforce_cut,role_category,seniority_level,ai_exposure_score,stated_reason,ai_cited_as_reason,revenue_growth_yoy_pct,ai_capex_change_yoy_pct,stock_price_change_30d_pct,shifted_staff_to_ai_roles,source_type
LAYOFF-00026,2023-11-02,2023.0,4.0,November,KestrelNetworks,Consulting/Professional Services,Latin America,Chile,"Enterprise (10,000+)",119615,1424,118191,1.19,Finance/Accounting,Entry-Level (0-2 yrs),60,Cost-Cutting,No,-29.0,1.0,-0.1,No,Press Release
LAYOFF-00027,2023-11-02,2023.0,4.0,November,KestrelHoldings,Media/Content,Europe,Ireland,"Enterprise (10,000+)",9440,350,9090,3.71,Legal,Entry-Level (0-2 yrs),70,AI/Automation,Yes,17.3,41.1,0.6,Yes,News Report
LAYOFF-00028,,2025.0,3.0,July,HarborTechnologies,Consulting/Professional Services,Europe,Netherlands,"SMB (200-1,000)",530,24,506,4.61,Product Management,Entry-Level (0-2 yrs),28,AI/Automation,Yes,15.3,7.7,10.1,No,News Report
LAYOFF-00029,,2025.0,3.0,July,FalconHoldings,Consumer Internet,North America,Mexico,"Enterprise (10,000+)",7268,115,7153,1.59,Finance/Accounting,Mid-Level (3-7 yrs),36,Overhiring Correction,No,2.5,3.1,-8.8,No,SEC Filing
LAYOFF-00030,,2025.0,3.0,July,PaceNetworks,Manufacturing,North America,Mexico,"SMB (200-1,000)",3979,452,3527,11.36,Software Engineering,Mid-Level (3-7 yrs),53,Market/Economic Conditions,No,7.5,29.7,2.8,No,CEO Memo
LAYOFF-00031,,2025.0,3.0,July,CedarSystems,Retail/E-commerce,Asia Pacific,Australia,"Mid-Market (1,000-10,000)",2798,204,2594,7.31,Product Management,Senior (8-15 yrs),46,Market/Economic Conditions,No,-17.3,27.1,-21.6,No,SEC Filing
LAYOFF-00032,,2025.0,3.0,July,HarborPartners,Consulting/Professional Services,North America,Canada,"SMB (200-1,000)",1052,72,980,6.85,Operations,Mid-Level (3-7 yrs),49,Overhiring Correction,No,-4.6,-16.7,-5.3,Yes,CEO Memo
LAYOFF-00033,,2025.0,3.0,July,JunoGroup,Consumer Internet,Europe,France,"Enterprise (10,000+)",41708,5136,36572,12.31,Consulting/Advisory,Mid-Level (3-7 yrs),34,Merger/Acquisition,No,13.2,19.1,2.9,No,Press Release
LAYOFF-00034,,2025.0,3.0,July,OrbiGroup,Energy,North America,Canada,"Mid-Market (1,000-10,000)",9177,614,8563,6.7,Product Management,Mid-Level (3-7 yrs),31,Market/Economic Conditions,No,-8.6,28.4,4.1,No,Press Release
LAYOFF-00035,,2025.0,3.0,July,NexGlobal,Finance/Banking,Asia Pacific,India,"Enterprise (10,000+)",8952,1020,7932,11.4,Legal,Mid-Level (3-7 yrs),24,Market/Economic Conditions,No,18.9,-16.0,-0.3,No,News Report
LAYOFF-00036,2023-04-03,2023.0,2.0,April,VorPartners,Pharma/Chemicals,Europe,Germany,"Enterprise (10,000+)",2494,192,2302,7.7,Marketing,Mid-Level (3-7 yrs),62,Overhiring Correction,No,16.1,-3.6,-10.3,No,Earnings Call Transcript
LAYOFF-00037,2023-04-03,2023.0,2.0,April,ZenSystems,Telecom,Latin America,Chile,"Mid-Market (1,000-10,000)",676,53,623,7.97,HR/People Ops,Entry-Level (0-2 yrs),61,Restructuring/Reorg,No,27.3,-19.3,-4.8,No,Earnings Call Transcript
LAYOFF-00038,2023-04-03,2023.0,2.0,April,LumGlobal,Technology/Software,North America,United States,"Enterprise (10,000+)",3857,33,3824,0.86,Operations,Entry-Level (0-2 yrs),42,Cost-Cutting,No,-11.3,29.0,23.7,No,WARN Notice
LAYOFF-00039,2023-07-03,2023.0,3.0,July,CedarLabs,Consumer Internet,North America,Mexico,"SMB (200-1,000)",66771,6748,60023,10.11,IT/Infrastructure,Entry-Level (0-2 yrs),76,Market/Economic Conditions,No,6.3,19.7,-1.5,No,Press Release
LAYOFF-00040,2023-08-03,2023.0,3.0,August,VorWorks,Healthcare,Europe,United Kingdom,"Enterprise (10,000+)",168145,28333,139812,16.85,Data Entry/Back Office,Senior (8-15 yrs),89,Market/Economic Conditions,No,11.7,22.4,-11.2,No,CEO Memo
LAYOFF-00041,2023-12-03,2023.0,4.0,December,IonixTechnologies,Transportation/Logistics,North America,Mexico,"Enterprise (10,000+)",218070,3244,214826,1.49,Product Management,Executive/Leadership,25,Cost-Cutting,No,16.1,-0.6,-11.5,No,CEO Memo
LAYOFF-00042,,2025.0,3.0,July,OnyxCorp,Media/Content,Asia Pacific,India,"Mid-Market (1,000-10,000)",68692,3017,65675,4.39,Content/Creative,Entry-Level (0-2 yrs),86,Market/Economic Conditions,No,14.2,4.2,-4.8,No,News Report
LAYOFF-00043,,2025.0,3.0,July,HarborSystems,Retail/E-commerce,North America,Canada,"Mid-Market (1,000-10,000)",854,185,669,21.75,Finance/Accounting,Mid-Level (3-7 yrs),66,Overhiring Correction,No,-21.8,43.1,1.8,No,Earnings Call Transcript
LAYOFF-00044,,2025.0,3.0,July,MeridianCorp,Finance/Banking,Asia Pacific,Singapore,"Enterprise (10,000+)",615,89,526,14.63,IT/Infrastructure,Entry-Level (0-2 yrs),48,AI/Automation,Yes,12.8,37.8,19.2,No,Earnings Call Transcript
LAYOFF-00045,,2025.0,3.0,July,GraniteHoldings,Finance/Banking,North America,United States,Startup (<200),165364,826,164538,0.5,Software Engineering,Senior (8-15 yrs),60,Cost-Cutting,No,-3.5,1.9,-6.4,No,Press Release
LAYOFF-00046,,2025.0,3.0,July,CorDynamics,Technology/Software,Asia Pacific,Singapore,"SMB (200-1,000)",7168,941,6227,13.14,Content/Creative,Mid-Level (3-7 yrs),59,Market/Economic Conditions,No,1.2,30.2,18.3,No,Earnings Call Transcript
LAYOFF-00047,,2025.0,3.0,July,PaceGroup,Finance/Banking,North America,Mexico,"SMB (200-1,000)",117580,15418,102162,13.11,Software Engineering,Mid-Level (3-7 yrs),55,Cost-Cutting,No,4.0,-12.1,7.0,No,News Report
LAYOFF-00048,,2025.0,3.0,July,NexPartners,Healthcare,North America,United States,"Mid-Market (1,000-10,000)",189,20,169,11.09,Data Entry/Back Office,Mid-Level (3-7 yrs),98,Restructuring/Reorg,No,2.4,5.9,-10.0,No,Press Release
LAYOFF-00049,,2025.0,3.0,July,DeltaGroup,Media/Content,North America,Canada,"Enterprise (10,000+)",774,40,734,5.25,Customer Support,Mid-Level (3-7 yrs),88,Overhiring Correction,No,4.1,46.5,-4.6,No,Earnings Call Transcript
LAYOFF-00050,2023-02-04,2023.0,1.0,February,GraniteTechnologies,Technology/Software,Latin America,Chile,"SMB (200-1,000)",99,12,87,12.92,IT/Infrastructure,Executive/Leadership,26,Restructuring/Reorg,No,-12.9,-6.8,1.0,Yes,Earnings Call Transcript
LAYOFF-00051,2023-03-04,2023.0,1.0,March,FalconCorp,Healthcare,North America,Mexico,"Enterprise (10,000+)",64,5,59,5.04,HR/People Ops,Mid-Level (3-7 yrs),49,AI/Automation,Yes,0.6,78.0,-0.3,No,CEO Memo
LAYOFF-00052,2023-07-04,2023.0,3.0,July,NovaGroup,Technology/Software,Asia Pacific,Singapore,"SMB (200-1,000)",8744,243,8501,2.78,Content/Creative,Senior (8-15 yrs),60,AI/Automation,Yes,14.5,42.9,-9.9,No,News Report
LAYOFF-00053,2023-07-04,2023.0,3.0,July,NexPartners,Healthcare,North America,Mexico,"Mid-Market (1,000-10,000)",189,26,163,13.76,Customer Support,Executive/Leadership,30,Cost-Cutting,No,16.2,13.4,2.8,No,Press Release
LAYOFF-00054,2023-10-04,2023.0,4.0,October,NexSolutions,Healthcare,North America,Canada,"SMB (200-1,000)",7634,160,7474,2.1,Data Entry/Back Office,Entry-Level (0-2 yrs),99,Cost-Cutting,No,-2.0,26.7,-3.5,No,WARN Notice
LAYOFF-00055,2023-10-04,2023.0,4.0,October,KestrelWorks,Consulting/Professional Services,Latin America,Argentina,"SMB (200-1,000)",637,29,608,4.56,Software Engineering,Mid-Level (3-7 yrs),39,Cost-Cutting,No,1.7,-13.6,-7.2,No,News Report
LAYOFF-00056,2023-11-04,2023.0,4.0,November,VorGlobal,Pharma/Chemicals,Europe,Germany,"Mid-Market (1,000-10,000)",195139,5879,189260,3.01,Marketing,Mid-Level (3-7 yrs),77,Restructuring/Reorg,No,-5.0,-20.0,4.9,No,SEC Filing
LAYOFF-00057,2023-12-04,2023.0,4.0,December,CedarIndustries,Consumer Internet,North America,Canada,Startup (<200),3200,409,2791,12.79,HR/People Ops,Entry-Level (0-2 yrs),33,Overhiring Correction,No,24.7,26.3,-3.2,No,Press Release
LAYOFF-00058,2023-12-04,2023.0,4.0,December,CedarDynamics,Technology/Software,Latin America,Argentina,"Mid-Market (1,000-10,000)",654,50,604,7.75,Operations,Mid-Level (3-7 yrs),47,Market/Economic Conditions,No,-7.5,29.4,5.2,No,SEC Filing
LAYOFF-00059,,2025.0,3.0,July,HarborGlobal,Finance/Banking,Asia Pacific,Australia,"Enterprise (10,000+)",82,5,77,4.06,Content/Creative,Mid-Level (3-7 yrs),42,AI/Automation,Yes,-4.3,42.7,-6.5,No,Earnings Call Transcript
LAYOFF-00060,,2025.0,3.0,July,NexSolutions,Healthcare,North America,Mexico,"SMB (200-1,000)",7634,120,7514,1.58,Marketing,Mid-Level (3-7 yrs),42,Cost-Cutting,No,-8.8,0.9,-12.9,No,Earnings Call Transcript
LAYOFF-00061,,2025.0,3.0,July,GraniteNetworks,Manufacturing,North America,Canada,"SMB (200-1,000)",994,98,896,9.94,Operations,Senior (8-15 yrs),45,Overhiring Correction,No,10.6,10.0,6.6,No,Press Release
LAYOFF-00062,,2025.0,3.0,July,JunoHoldings,Manufacturing,Asia Pacific,Australia,"Mid-Market (1,000-10,000)",3160,239,2921,7.58,Content/Creative,Mid-Level (3-7 yrs),75,Other,No,-3.5,-3.9,-19.5,No,News Report
LAYOFF-00063,,2025.0,3.0,July,NexHoldings,Transportation/Logistics,Asia Pacific,Australia,"Mid-Market (1,000-10,000)",179458,2338,177120,1.3,Legal,Entry-Level (0-2 yrs),41,Cost-Cutting,No,6.9,-8.5,1.7,No,News Report
LAYOFF-00064,,2025.0,3.0,July,JunoWorks,Media/Content,Asia Pacific,Japan,"Enterprise (10,000+)",3093,131,2962,4.26,Content/Creative,Mid-Level (3-7 yrs),83,Cost-Cutting,No,13.3,13.3,2.4,No,News Report
LAYOFF-00065,,2025.0,3.0,July,GraniteGlobal,Healthcare,North America,Mexico,"Mid-Market (1,000-10,000)",623,9,614,1.51,Operations,Executive/Leadership,32,Cost-Cutting,No,-16.5,5.8,-8.0,Yes,CEO Memo
LAYOFF-00066,,2025.0,3.0,July,HarborTechnologies,Consulting/Professional Services,Europe,Netherlands,"SMB (200-1,000)",530,133,397,25.1,Operations,Mid-Level (3-7 yrs),61,Cost-Cutting,No,6.5,-7.0,12.3,No,SEC Filing
LAYOFF-00067,,2025.0,3.0,July,MeridianGlobal,Consumer Internet,Latin America,Chile,"SMB (200-1,000)",811,75,736,9.36,Data Entry/Back Office,Mid-Level (3-7 yrs),71,Market/Economic Conditions,No,-2.4,45.1,-9.8,No,SEC Filing
LAYOFF-00068,,2025.0,3.0,July,TerraCorp,Consumer Internet,Europe,France,"Enterprise (10,000+)",4040,130,3910,3.22,Consulting/Advisory,Mid-Level (3-7 yrs),40,Cost-Cutting,No,-1.3,-7.7,-0.1,No,Press Release
LAYOFF-00069,,2025.0,3.0,July,HelioNetworks,Retail/E-commerce,Asia Pacific,Singapore,Startup (<200),186635,9498,177137,5.09,Manufacturing/Production,Senior (8-15 yrs),40,AI/Automation,Yes,20.1,47.7,5.6,No,Earnings Call Transcript
LAYOFF-00070,,2025.0,3.0,July,OrbiNetworks,Media/Content,Asia Pacific,Japan,"Mid-Market (1,000-10,000)",8273,156,8117,1.89,Data Entry/Back Office,Mid-Level (3-7 yrs),98,Market/Economic Conditions,No,-10.3,30.0,-12.3,No,Earnings Call Transcript
LAYOFF-00071,,2025.0,3.0,July,FalconGlobal,Retail/E-commerce,Asia Pacific,Australia,"Mid-Market (1,000-10,000)",274,12,262,4.47,Legal,Mid-Level (3-7 yrs),35,Other,No,-27.8,-17.3,-6.1,No,SEC Filing
LAYOFF-00072,,2025.0,3.0,July,KestrelHoldings,Media/Content,Europe,Ireland,"Enterprise (10,000+)",9440,443,8997,4.7,Legal,Senior (8-15 yrs),40,Overhiring Correction,No,-8.1,-2.0,11.3,No,Press Release
LAYOFF-00073,,2025.0,3.0,July,GranitePartners,Technology/Software,North America,United States,"SMB (200-1,000)",6103,427,5676,7.01,Marketing,Mid-Level (3-7 yrs),37,AI/Automation,Yes,17.1,19.3,3.5,Yes,CEO Memo
LAYOFF-00074,2023-02-05,2023.0,1.0,February,NexLabs,Technology/Software,Europe,Ireland,"Enterprise (10,000+)",935,88,847,9.44,Product Management,Entry-Level (0-2 yrs),25,Cost-Cutting,No,-8.2,-3.3,-3.0,No,CEO Memo
LAYOFF-00075,2023-05-05,2023.0,2.0,May,NexCorp,Finance/Banking,Latin America,Chile,"Enterprise (10,000+)",2710,48,2662,1.8,Operations,Mid-Level (3-7 yrs),57,Market/Economic Conditions,No,24.9,9.3,2.6,No,CEO Memo
LAYOFF-00076,2023-06-05,2023.0,2.0,June,HarborSolutions,Transportation/Logistics,North America,United States,"Mid-Market (1,000-10,000)",7493,822,6671,10.97,Product Management,Entry-Level (0-2 yrs),30,Overhiring Correction,No,23.2,-18.3,-11.3,No,News Report
LAYOFF-00077,2023-07-05,2023.0,3.0,July,KestrelPartners,Consumer Internet,North America,Canada,"Enterprise (10,000+)",7751,231,7520,2.98,Software Engineering,Senior (8-15 yrs),43,Market/Economic Conditions,No,-4.0,-12.9,-5.4,No,News Report
LAYOFF-00078,2023-08-05,2023.0,3.0,August,VorGlobal,Pharma/Chemicals,Europe,United Kingdom,"Mid-Market (1,000-10,000)",195139,10867,184272,5.57,Manufacturing/Production,Mid-Level (3-7 yrs),38,Market/Economic Conditions,No,-11.4,-11.1,-4.5,No,News Report
LAYOFF-00079,2023-10-05,2023.0,4.0,October,OnyxPartners,Technology/Software,North America,United States,"SMB (200-1,000)",164143,12264,151879,7.47,Data Entry/Back Office,Mid-Level (3-7 yrs),97,AI/Automation,Yes,13.6,14.6,2.3,Yes,News Report
LAYOFF-00080,2023-12-05,2023.0,4.0,December,VorSolutions,Manufacturing,North America,Canada,"Mid-Market (1,000-10,000)",124,6,118,5.6,HR/People Ops,Senior (8-15 yrs),43,Cost-Cutting,No,14.4,-11.3,-5.8,No,Press Release
LAYOFF-00081,,2025.0,3.0,July,KestrelSystems,Technology/Software,Asia Pacific,China,"Mid-Market (1,000-10,000)",2831,120,2711,4.26,Legal,Mid-Level (3-7 yrs),56,Cost-Cutting,No,-9.8,3.3,-9.2,No,News Report
LAYOFF-00082,,2025.0,3.0,July,SilverLabs,Telecom,North America,Mexico,"Enterprise (10,000+)",130722,6377,124345,4.88,HR/People Ops,Entry-Level (0-2 yrs),45,Market/Economic Conditions,No,-2.5,9.8,-5.3,No,SEC Filing
LAYOFF-00083,,2025.0,3.0,July,AstraPartners,Media/Content,Europe,Ireland,"Mid-Market (1,000-10,000)",694,24,670,3.59,HR/People Ops,Mid-Level (3-7 yrs),48,Cost-Cutting,No,-0.5,8.6,-3.4,No,SEC Filing
LAYOFF-00084,,2025.0,3.0,July,JunoSolutions,Media/Content,Latin America,Brazil,"Mid-Market (1,000-10,000)",107423,11568,95855,10.77,Sales,Entry-Level (0-2 yrs),67,AI/Automation,Yes,4.2,29.6,-3.0,No,Press Release
LAYOFF-00085,,2025.0,3.0,July,HarborIndustries,Finance/Banking,North America,Canada,"Mid-Market (1,000-10,000)",81044,3421,77623,4.22,Finance/Accounting,Mid-Level (3-7 yrs),58,Cost-Cutting,No,5.7,27.2,2.1,No,SEC Filing
LAYOFF-00086,,2025.0,3.0,July,NexSystems,Media/Content,Latin America,Argentina,"Enterprise (10,000+)",502,25,477,5.0,Software Engineering,Executive/Leadership,52,Market/Economic Conditions,No,19.4,-0.1,14.2,No,Press Release
LAYOFF-00087,,2025.0,3.0,July,KestrelLabs,Transportation/Logistics,North America,Canada,"SMB (200-1,000)",170598,9340,161258,5.48,HR/People Ops,Mid-Level (3-7 yrs),47,Cost-Cutting,No,-5.3,38.9,9.1,No,CEO Memo
LAYOFF-00088,,2025.0,3.0,July,OrbiGroup,Energy,North America,Mexico,"Mid-Market (1,000-10,000)",9177,156,9021,1.71,IT/Infrastructure,Entry-Level (0-2 yrs),49,Restructuring/Reorg,No,-30.1,36.2,0.9,Yes,Press Release
LAYOFF-00089,,2025.0,3.0,July,ZenNetworks,Consumer Internet,Europe,Ireland,"SMB (200-1,000)",7824,361,7463,4.62,Sales,Entry-Level (0-2 yrs),79,Restructuring/Reorg,No,-11.7,9.4,-15.8,No,Earnings Call Transcript
LAYOFF-00090,,2025.0,3.0,July,BriSolutions,Pharma/Chemicals,North America,Canada,Startup (<200),83756,4714,79042,5.63,Finance/Accounting,Entry-Level (0-2 yrs),51,Merger/Acquisition,No,15.0,32.0,-13.3,No,Press Release
LAYOFF-00091,2023-07-06,2023.0,3.0,July,VorSolutions,Manufacturing,North America,United States,"Mid-Market (1,000-10,000)",124,11,113,9.07,IT/Infrastructure,Mid-Level (3-7 yrs),30,Restructuring/Reorg,No,15.7,12.3,-0.9,No,Earnings Call Transcript
LAYOFF-00092,2023-07-06,2023.0,3.0,July,FalconNetworks,Consulting/Professional Services,North America,Mexico,Startup (<200),283,5,278,0.96,Software Engineering,Senior (8-15 yrs),50,AI/Automation,Yes,20.3,36.4,15.7,No,News Report
LAYOFF-00093,2023-09-06,2023.0,3.0,September,LumDynamics,Finance/Banking,Asia Pacific,Japan,"Mid-Market (1,000-10,000)",4022,225,3797,5.61,Marketing,Executive/Leadership,44,AI/Automation,Yes,19.1,68.1,1.3,Yes,CEO Memo
LAYOFF-00094,2023-09-06,2023.0,3.0,September,VectGroup,Consumer Internet,Asia Pacific,China,"Enterprise (10,000+)",7754,601,7153,7.76,Content/Creative,Senior (8-15 yrs),81,AI/Automation,Yes,10.7,42.3,-1.0,No,Press Release
LAYOFF-00095,2023-09-06,2023.0,3.0,September,BriIndustries,Technology/Software,Asia Pacific,Singapore,"Mid-Market (1,000-10,000)",90936,3123,87813,3.44,Sales,Senior (8-15 yrs),25,Restructuring/Reorg,No,3.5,28.1,16.3,No,Earnings Call Transcript
LAYOFF-00096,2023-11-06,2023.0,4.0,November,HelioHoldings,Technology/Software,North America,Mexico,"Enterprise (10,000+)",108365,1550,106815,1.43,Software Engineering,Entry-Level (0-2 yrs),65,Cost-Cutting,No,-4.1,-20.0,10.8,No,CEO Memo
LAYOFF-00097,2023-12-06,2023.0,4.0,December,CobaltHoldings,Healthcare,Europe,France,"Enterprise (10,000+)",3456,222,3234,6.45,Finance/Accounting,Entry-Level (0-2 yrs),55,Overhiring Correction,No,25.7,-5.4,-6.4,No,Earnings Call Transcript
LAYOFF-00098,,2025.0,3.0,July,DeltaWorks,Telecom,North America,Canada,"SMB (200-1,000)",2714,183,2531,6.77,IT/Infrastructure,Executive/Leadership,18,Merger/Acquisition,No,13.3,18.5,13.1,Yes,Press Release
LAYOFF-00099,,2025.0,3.0,July,HelioLabs,Energy,Europe,France,"SMB (200-1,000)",170,9,161,5.43,HR/People Ops,Executive/Leadership,41,AI/Automation,Yes,14.2,53.8,17.2,No,News Report
LAYOFF-00100,,2025.0,3.0,July,VorHoldings,Pharma/Chemicals,North America,United States,"SMB (200-1,000)",8654,557,8097,6.44,Customer Support,Entry-Level (0-2 yrs),99,AI/Automation,Yes,20.4,15.9,-6.2,No,News Report
LAYOFF-00101,,2025.0,3.0,July,TerraIndustries,Technology/Software,North America,Mexico,"Mid-Market (1,000-10,000)",85,11,74,13.42,Operations,Executive/Leadership,65,Market/Economic Conditions,No,-16.4,-11.7,4.0,No,Earnings Call Transcript
LAYOFF-00102,,2025.0,3.0,July,JunoSolutions,Media/Content,Latin America,Argentina,"Mid-Market (1,000-10,000)",107423,4112,103311,3.83,Manufacturing/Production,Mid-Level (3-7 yrs),32,Market/Economic Conditions,No,7.7,9.4,4.4,No,News Report
LAYOFF-00103,,2025.0,3.0,July,VectLabs,Retail/E-commerce,North America,Mexico,"Enterprise (10,000+)",12966,956,12010,7.38,Software Engineering,Executive/Leadership,20,AI/Automation,Yes,14.2,14.5,-2.4,No,SEC Filing
LAYOFF-00104,,2025.0,3.0,July,CobaltNetworks,Consulting/Professional Services,North America,Canada,"Enterprise (10,000+)",6319,250,6069,3.97,Data Entry/Back Office,Senior (8-15 yrs),98,AI/Automation,Yes,-2.7,20.4,9.1,No,News Report
LAYOFF-00105,,2025.0,3.0,July,VectTechnologies,Consumer Internet,Middle East/Africa,South Africa,"Mid-Market (1,000-10,000)",5209,272,4937,5.23,Operations,Executive/Leadership,25,Market/Economic Conditions,No,15.8,1.3,7.9,No,CEO Memo
